trip_id,arrival_time,departure_time,stop_id,stop_sequence
Red_R-1_RAIL_WD_DN,06:12:29,06:12:59,R08,7
Red_R-1_RAIL_WD_DN,06:14:34,06:15:00,R09,8
Red_R-1_RAIL_WD_DN,06:16:07,06:16:42,R10,9
Red_R-1_RAIL_WD_DN,06:17:50,06:18:18,R11,10
Red_R-1_RAIL_WD_DN,06:19:20,06:19:48,R12,11
Red_R-1_RAIL_WD_DN,06:20:48,06:21:22,R13,12
Red_R-1_RAIL_WD_DN,06:22:50,06:23:16,R14,13
Red_R-1_RAIL_WD_DN,06:25:08,06:25:34,R15,14
Red_R-1_RAIL_WD_DN,06:27:09,06:27:35,R16,15
Red_R-1_RAIL_WD_DN,06:29:09,06:29:35,R17,16
Red_R-1_RAIL_WD_DN,06:30:54,06:31:20,R18,17
